Project Name,License,Project Type,Categories,Start Year,Earliest mention URL,Project Website,Download links,Last Update,Checked By,Last Checked,Forked from,Founders,Founder active since,Founder early URL,Number of contributors,Number of forks,Source repo url,Bug tracker url,Mailingist archive / Forum url,Documentation URL,Wiki URL,Programming Languages,Frameworks,Packages Used,Integrations,OSes,Approx Number of Customers,Approx Number of files,Approx Lines of code,Number of Dependencies,Packaged for,Packaged in,Professional support companies number,Professional support cost/h range,Install Cost,Yearly Cost,Monthly Cost,Time to install?,Time to set up?,Import tools?,Scalability,Scalability references,Founder emails,Founder urls,Contributors,Live Demo,Video Demo,Company,Largest Customers,Large customer case links,Supported Brands
,,,,,,,,,,,,,,,,,,,,,,"NOT javascript, HTML","NOT PHP, html, Javascript",,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillMax,Shareware,ISP,Billing,2004,,https://www.billmax.com,http://www.tucows.com/preview/291952/BillMax,"Thursday, 14 August 2014",,27 Jan 2017,,The iSpark Group Inc,,,,,https://www.billmax.com/bx2012/docs/menu/web/bxrefr1.html,https://www.billmax.com/bx2012/docs/menu/web/bxconfigbillmaxs3.html,,,," C is the language,",Javascript on visible on the page,"Apache, MySQL",IPpay,,,,,,,,,,,,,,,,,2015-01-21,paulbillmaxcom,https://www.billmax.com/corporate.html,,,,Fort Worth professionals,,,
kBilling,Shareware,,Billing,2003,,http://www.k-billing.com/,cdn1.ksoftware.net/kbilling_installer.exe,2015,Chyconsl,27 Jan 2017,,K softwares,,,,,http://wiki.azotel.com/simpler-features/features-index-1/migrate-customer-account-to-other-database,,,https://www.billmax.com/bx2012/docs/menu/web/bxoverviews14.html,,R,,,IPpay,,,,,,,,,,,USD 49,,,,,,,hostmaster@ksoftware.net,,,,,K software,,,
Advantage 360,Shareware ,POS/CRM,Billing,1984,,www.Advantage360.com,,,Chyconsl,28 Jan 2017,,Jack Wilson,,,,,"http://www.advantage360.com/xmlrpc.php"" />",,,,,JavaScript +Ajax ,,Wordpress/Apache ,IPpay,,,,,,,,,,,,,,,,,,,,,,,Advantage 360 Software LLC,,,"Mikrotik, Ubiquiti"
Azotel,Shareware ,NMS,"Portal, Dashboard, Billing, Monitoring, Support, Provisioning",,,www.azotel.com,,,Chyconsl,28 Jan 2017,,Azotel technologies,,,,,"http://nerdyjs.com/script/1256951, http://wiki.azotel.com/simpler-features/features-index-1/migrate-customer-account-to-other-database",,,,,Perl +,,Sql and apache,IPpay,,,,,,,,,,,,,,,,,,info@azotel.com,,,,,,,,
Billmax,,,Billing,,,www.billmax.com,,,Chyconsl,28 Jan 2017,,,,,,,,,,,,,,,IPpay,,,,,,,,,,,,,,,,,,,,,,,,,,
Doorswap,Freeware,Self storage,Billing,2007,,www.doorswap.com,,,Chyconsl,28 Jan 2017,,Assured revenue corporations,,,,,,,,,,C,php,Apache/Unix,IPpay,,,,,,,,,,,,,,,,,,,,,,,Assured revenue corporations ,,,
Echurch Give,Gnu freeware,,Billing,1997,,www.thepastorscpa.com,https://sourceforge.net/directory/?q=church+management,2010,Chyconsl,28 Jan 2017,,"Robert Howze, Jr",,,,,https://github.com/pizzapanther/Church-Source?files=1,https://github.com/pizzapanther/Church-Source/blob/master/churchsource/urls.py,,,,Lisp/Mit-church/Python ,Ajax,Mysql,IPpay,,,,,,,,,,,,19$-29$,,,,,,rhowze@thepastorscpa.com,,,,,"Icon Systems, Inc. (ISI)",,,
Emerald,Commercial ,,Billing,1988,,www.iea-software.com,,,Chyconsl,28 Jan 2017,,"David Martin of Martech, and Mike Dixon",,,,,www.iris.edu/files/EMERALD/EMERALD1.01.tgz,,,,,,,"Oracle, Apache",IPpay(B),,,,,,,,,,,,,,,,,,,,,,,,,,
Foster Innovations,,,Billing,,,www.fosterinnovations.net.com,,,Chyconsl,29 Jan 2017,,Adam Bryant ,,,,,,,,,,Asp.net,,llS,IPpay,,,,,,,,,,,,,,,,,,,,,,,,,,
